店舗名,店舗住所,業種
ガーリーショット ガーリーショット,つくば市 天久保1丁目6-1 ヤマキビル101,飲食 / 居酒屋・パブ・バー
bar Re Re bar Re Re,つくば市 天久保1丁目6-2 六本木ビルD号室,飲食 / 居酒屋・パブ・バー
本場大阪 一太郎 本場大阪 一太郎,つくば市 天久保2-6-1,飲食 / 居酒屋・パブ・バー
Cocktail Bar&喫茶 NOSTALGIA ,つくば市 天久保2丁目 9-2,飲食 / 居酒屋・パブ・バー
一太郎 一太郎,つくば市 天久保2丁目6-1 ベストランド,飲食 / 居酒屋・パブ・バー
千香華味 千香華味,つくば市 天久保3-10-10,飲食 / 居酒屋・パブ・バー
N’s cafe N’s cafe,つくば市 天久保3-13-3 高野テナント103,飲食 / 居酒屋・パブ・バー
麺THETOKYO/イロドリヤ 麺THETOKYO/イロドリヤ,つくば市 天久保3-15-4 丸三ビル1-D,飲食 / 居酒屋・パブ・バー
SORA CAFE SORA CAFE,つくば市 天久保3-2-8 ウッディライフつくば1階,飲食 / 居酒屋・パブ・バー
トタンコットンカフェ トタンコットンカフェ,つくば市 天久保4-5-17,飲食 / 居酒屋・パブ・バー
PRIUS ,つくば市 天久保一丁目 6-12 くいだおれビル2F,飲食 / 居酒屋・パブ・バー
洋風居酒屋 琴キッチン 洋風居酒屋 琴キッチン,つくば市 島名2264-1 パークハイム101,飲食 / 居酒屋・パブ・バー
鳥吉梅園店 鳥吉梅園店,つくば市 東2-22-36,飲食 / 居酒屋・パブ・バー
居酒屋おらじ 居酒屋おらじ,つくば市 東光台3-7-10,飲食 / 居酒屋・パブ・バー
Twin Peaks Twin Peaks,つくば市 東新井 18-8,飲食 / 居酒屋・パブ・バー
一年中おでん屋はなび ,つくば市 東新井18ー3,飲食 / 居酒屋・パブ・バー
そらいろcafe そらいろcafe,つくば市 東新井19-6,飲食 / 居酒屋・パブ・バー
大衆ビストロ YASUDA 大衆ビストロYASUDA,つくば市 東新井28-4 荒井マンション2 1階A号室,飲食 / 居酒屋・パブ・バー
cafe&diner hungry cafe&diner hungry,つくば市 東新井28ー4 新井マンション2,飲食 / 居酒屋・パブ・バー
Django DJANGO,つくば市 二の宮 1-1-10,飲食 / 居酒屋・パブ・バー
海宴 たくみ 海宴たくみ,つくば市 二の宮 1-1-10 二の宮プラザ106,飲食 / 居酒屋・パブ・バー
鳥吉本店 鳥吉本店,つくば市 二の宮 1丁目4-16,飲食 / 居酒屋・パブ・バー
洞峰 はなび ,つくば市 二の宮 2-14-15,飲食 / 居酒屋・パブ・バー
焼肉 六花 焼肉六花,つくば市 二の宮 2-2-22 the Tsukuba terraceIII,飲食 / 居酒屋・パブ・バー
Bar2 ,つくば市 二の宮 2-2-9,飲食 / 居酒屋・パブ・バー
居酒屋玄太 居酒屋玄太,つくば市 二の宮 2-6-13,飲食 / 居酒屋・パブ・バー
つくば夢酒場 華族 ,つくば市 二の宮 2丁目5-20,飲食 / 居酒屋・パブ・バー
ゴールドラッシュ ゴールドラッシュ,つくば市 二の宮 4-6-1 小野崎アパート5-103,飲食 / 居酒屋・パブ・バー
Fika Fika,つくば市 二の宮1-20-11 アンティームつくば111号,飲食 / 居酒屋・パブ・バー
TSUKUBA BREWERY TSUKUBA BREWERY,つくば市 二の宮2-14-15 洞峰の家ビル102,飲食 / 居酒屋・パブ・バー
居酒屋DINING YAPPA 居酒屋DINING YAPPA,つくば市 二の宮2-14-20,飲食 / 居酒屋・パブ・バー
RAJA RAJA,つくば市 二の宮2-2-3,飲食 / 居酒屋・パブ・バー
LINEA LINEA,つくば市 二の宮3-27-2-104,飲食 / 居酒屋・パブ・バー
鳥吉 南店,つくば市 北中島 433-6,飲食 / 居酒屋・パブ・バー
ステーキハウス ソヌーテ ステーキハウス ソヌーテ,つくば市 面野井171-1,飲食 / 居酒屋・パブ・バー
ステーキハウス幌馬車 研究学園店 ,つくば市 面野井870-6,飲食 / 居酒屋・パブ・バー
新たこ 新たこ,つくば市 面野井字登戸44 山新グランステージつくばフードコート内,飲食 / 居酒屋・パブ・バー
VENUS CAFE VENUS CAFE,つくば市 面野井字登戸44 山新グランステージつくばフードコート内,飲食 / 居酒屋・パブ・バー
きょうてき きょうてき,つくば市 面野井字登戸44 山新グランステージつくばフードコート内,飲食 / 居酒屋・パブ・バー
古民家バル たまり 旬の食材と酒,つくば市吾妻 3丁目7-13,飲食 / 居酒屋・パブ・バー
